任务名,所有者
司机完成单＞=10单监控,liuhongli
司机亏损数据监控,liuhongli
司机跨城市接单监控,liuhongli
hql_sy_mart_analyst.app_city_same_users_daily,chengmuhua
hql_sy_mart_analyst.app_same_users_daily,chengmuhua
hql_sy_mart_analyst.subsidy_daily,chengmuhua
用户补贴营销效果邮件日报,chengmuhua
hql_sy_mart_analyst.app_active_user_daily,chengmuhua
hql_sy_mart_analyst.driver_task_suby_mony,taonawen
hql_sy_mart_analyst.subsidy_consume_month,chengmuhua
hql_sy_app_online.o_t_sales_clue,yangliu01
hql_sy_tmp.a_fin_vip_order_stat_day_1,helidan
hql_sy_dw_vip.d_vip_month_order_info_1,helidan
各城市反作弊线上及优惠券监控,liuhongli
hql_sy_mart_ml.codesubsidy_coupon_assess,zhanggaoming
hql_sy_mart_ml.codesubsidy_user_assess,zhanggaoming
hql_sy_mart_ml.user_chudan_in_7days,zhanggaoming
hql_sy_mart_analyst.app_same_users_lifcycle_daily,chengmuhua
hql_sy_tmp.sy_anti_cheat_report_data,zhengyaxin
反作弊离线数据监控,zhengyaxin
hql_sy_mart_ml.order_cnt_component_analysis__zgm,zhanggaoming
hql_sy_mart_analyst.subsidy_consume_daily_huodi,chengmuhua
hql_sy_mart_ml.loss_prediction_be5_assess,zhanggaoming
hql_sy_mart_ml.loss_prediction_1_4_assess,zhanggaoming
hql_sy_mart_ml.offline_callback_newuser_assess,zhanggaoming
hql_sy_mart_ml.offline_callback_five_assess,zhanggaoming
hql_sy_dw_vip.a_fin_vip_order_stat_day_1,helidan
baidu_sem推广数据,wangpengchao
hql_sy_tmp.suyun_city_daily_data,zhaoqin
hql_sy_mart_analyst.first_card_reward_temp,taonawen
hql_sy_mart_analyst.driver_task_finsh_amount,taonawen
hql_sy_mart_analyst.driver_task_finsh_amount_month,taonawen
hql_sy_mart_analyst.city_budget_consume,chengmuhua
hql_sy_tmp.coupon_consume_daily,wangpengchao
hql_sy_mart_analyst.subsidy_stat,chengmuhua
作弊监控日报,taonawen
hql_sy_mart_analyst.subsidy_consume_daily,chengmuhua
新客数据test,chengmuhua
hql_kg_mart_analyst.spring_festival_data_1,wangyiren
hql_sy_dw_vip.v_driver_info,yangxumei
上海认证司机跟进(新司机),xiaohuanglin
hql_sy_tmp.sy_order_stat_week,cuiyaozeng
hql_sy_tmp.sy_performance_overview_week,cuiyaozeng
hql_sy_tmp.bd_job_day_data,zhaoqin
hql_kg_mart_analyst.user_first_order,wangyiren
城市日常战报,wangyiren
东北大区+华东二区每日日报,lilin06
hql_sy_tmp.third_channel_new_daily,wangpengchao
hql_sy_mart_analyst.little_order_daily_temp,taonawen
hql_sy_bi_tmp.sy_user_rfm,chenkaiyan
济南项目--城市核心数据,wangyiren
hql_sy_app_online.m_pusher_b_customer_clue,yangliu01
hql_sy_mart_analyst.bad_order_daily,chengmuhua
太原司邀客日报,wangyiren
广州每日司机数据明细,wangjun10
hql_daojia_ml.dwf_allowance_effect_monitoring,zhangtianpeng
每日分渠道用户数据,zhouyaru
hql_sy_mart_analyst.ziying_city_driversubsidy,sijianfeng
司机完成单＞=10单详细数据,liuhongli
客邀客现金版简要日报,caojing02
司机命中规则订单比例大于50%,liuhongli
hql_kg_mart_analyst.app_fin_taiyuan_order_info,wangyiren
太原司邀客-新版日报,wangyiren
反作弊客邀客近一周数据统计,zhengyaxin
流失召回每日数据,gongliangzhen
hql_sy_dw_a.order_is_in_point,zhangzheng01
客邀客现金版简要日报,chengmuhua
hql_sy_mart_analyst.app_user_invite_user_upstream,chengmuhua
hql_kg_mart_analyst.driver_data_analyse_daily,wangyiren
太原司邀客反作弊筛查,wangyiren
司推司活动数据日报V1,maning01
完单分享红包日报,wangyiren
司机侧成本分析App转化,zhouyaru
hql_kg_mart_analyst.order_completion_rate_analyse_daily,wangyiren
二批流失召回数据监控,gongliangzhen
hql_sy_mart_analyst.temp_driver_score_level_tnw,taonawen
hql_jt_dw_f.dwf_cancel_order_detail,renxiaomeng
